transaction_id,bank_name,customer_id,customer_first_name,customer_last_name,customer_account_number,merchant_id,merchant_name,merchant_account_number,transaction_amount,credit_card_number,credit_card_type,expiry_date,mode_of_transaction,transaction_date,transation_time,transation_type,transation_location,transation_ip,transation_status
a9277328-ced9-4227-b827-5b37d2e4e962,HDFC,79-0190119,Zebedee,Toun,HDFC0020427,62-4088068,Marlow,HDFC0097482,91843,374283182373993,BRONZE,10/11/2022,BANK,13/09/2019,2:05:24,DEBIT,Realeza,101.162.190.199,SUCCESS
4fe737d8-20a4-4146-a978-7729762eadf0,HDFC,98-3521026,Durante,Fidell,HDFC0042845,99-7739514,Nata,HDFC0068691,16381,5108758552313424,SILVER,1/20/2024,ONLINE,18/07/2020,15:12:29,CREDIT,Dongting,198.144.53.209,SUCCESS
7176b282-ce99-40fd-a6a9-c00e5360abb7,CITY,29-4849475,Ralina,Hattigan,CITY0011059,33-5476032,Laura,CITY0080886,95040,3534606945207770,GOLD,2/6/2025,POS,28/03/2020,22:49:59,CREDIT,Tejar,77.231.163.101,SUCCESS
e479d0ae-ebbb-478e-8f17-4c007c2cbcaa,SBI,52-7857672,Hunfredo,Brownstein,SBI00053011,57-0588274,Phaedra,SBI00076277,88846,5610043630304526,PLATINUM,11/24/2025,BANK,14/03/2020,16:18:53,DEBIT,Fare,103.128.83.70,SUCCESS
1061f5c6-aae7-48d2-b0ec-f983b719e24b,HDFC,72-6491007,Melli,Huckster,HDFC0025078,06-7735971,Alden,HDFC0081238,73705,6304721869661876231,PLATINUM,9/13/2025,BANK,17/07/2020,11:37:50,DEBIT,Dayu,108.22.131.37,FAILED
1dbca3db-63cb-4510-b178-b53f2442b7bb,KOTAK,89-1319814,Vanya,Ryson,KOTAK048466,92-0731710,Renado,KOTAK065653,25635,670933005806472214,PLATINUM,11/21/2025,POS,02/05/2020,6:48:43,CREDIT,Invercargill,136.139.228.127,SUCCESS
dbbb9417-c1f7-4239-bf0f-d7a121c0c192,HDFC,82-7065059,Allene,Pomphrey,HDFC0046766,36-5468929,Enrichetta,HDFC0085270,72420,4844411961433985,GOLD,12/29/2021,POS,07/11/2019,22:07:20,DEBIT,Tegalrejo,91.155.147.60,SUCCESS
8c854d3b-5771-40b3-87aa-44df39584847,SBI,03-2733085,Katee,Petrashov,SBI00026713,99-6459254,Phaedra,SBI00082785,11262,3545228225121154,SILVER,7/20/2026,ONLINE,27/03/2020,16:29:09,CREDIT,Lembang,193.156.25.22,SUCCESS
14ffaada-88f6-419f-9596-a3916edf2d44,KOTAK,85-3913054,Maighdiln,Moar,KOTAK054564,97-0919263,Pier,KOTAK092586,5922,5007660851103831,PLATINUM,3/12/2025,ONLINE,29/08/2019,21:48:27,DEBIT,Enniskerry,16.64.104.201,SUCCESS
9a2e7163-1abc-4e61-8ded-03836c066001,KOTAK,20-3837404,Bev,Rawlinson,KOTAK020211,46-7697753,Kelvin,KOTAK093347,68073,3549915034364019,GOLD,9/1/2022,ONLINE,19/03/2020,14:54:58,CREDIT,Algarrobo,173.39.235.191,FAILED
f94d69e1-1965-4cbd-ad63-62e9e0f1a500,CITY,64-8578262,Kassandra,Wharf,CITY0015275,99-1158648,Olav,CITY0067499,11897,6759807341290546611,GOLD,7/11/2022,BANK,05/07/2019,21:33:57,CREDIT,Tulsīpur,163.92.158.125,SUCCESS
ca3f7ef0-01ba-4bdc-9921-594bf81fadc9,KOTAK,31-9717282,Hana,Oaks,KOTAK034748,25-7969393,Verene,KOTAK082803,12887,6304581692609307518,PLATINUM,2/29/2024,BANK,21/01/2020,14:55:27,DEBIT,Zlonice,216.236.47.98,SUCCESS
f1211a6b-c29c-49c5-96ff-35a1f22a71c7,CITY,80-9914480,Zoe,Follows,CITY0020646,20-1481308,Lise,CITY0078433,20260,4917818639673168,SILVER,4/23/2024,ONLINE,09/08/2020,13:04:22,CREDIT,Kujang,144.191.175.140,SUCCESS
457334bc-07e3-400d-8631-bfc0ea00ca61,KOTAK,73-5507870,Lindsey,Gilkes,KOTAK029744,51-2514861,Averil,KOTAK087365,43819,377252176019208,PLATINUM,7/22/2022,POS,11/07/2020,6:20:26,CREDIT,Rokiškis,187.67.204.34,FAILED
86f27892-884b-440e-a836-61233194d3b2,KOTAK,42-4955940,Jessalyn,Rosewarne,KOTAK011955,89-3436032,Elianora,KOTAK091650,7543,3582802843874214,BRONZE,9/1/2027,POS,15/05/2020,18:32:55,DEBIT,Petrovskoye,146.16.97.208,SUCCESS
3f20f510-4a1f-41ba-9735-3b28c7b63767,KOTAK,01-8101828,Johannes,Kwietak,KOTAK022100,60-0183461,Alair,KOTAK088604,57547,3537907120892064,BRONZE,5/25/2027,ONLINE,13/06/2020,19:25:26,CREDIT,Sanguinheira,164.218.67.221,SUCCESS
ebec9500-225a-4250-9236-dc7213bd5b24,HDFC,91-5876670,Tybalt,Vigors,HDFC0029058,81-4195477,Vinni,HDFC0083864,79889,5189073058416602,GOLD,8/23/2027,ONLINE,31/07/2020,10:20:56,DEBIT,Muyi,17.245.199.99,SUCCESS
c7dbbbe4-e5fd-4be3-b3b7-1201d5694b9a,SBI,86-1795883,Man,Kondratowicz,SBI00039315,33-4021006,Ron,SBI00099306,78202,4041598550143,BRONZE,3/16/2024,POS,02/04/2020,15:25:37,DEBIT,Fukagawa,245.199.11.71,FAILED
28f9d9e3-60b2-44a1-9c30-d940e4b0e6e4,KOTAK,48-7891381,Gianna,Morkham,KOTAK013492,86-5084300,Maurice,KOTAK097422,46753,5602213685489031,PLATINUM,8/17/2022,POS,13/09/2019,9:07:33,DEBIT,Las Higueras,242.79.175.32,SUCCESS
5eea6f44-abe4-419a-9e05-56dcea52adaf,HDFC,31-5229424,Bruis,Bulluck,HDFC0027647,98-9763904,Ailis,HDFC0074061,26378,3538390692486608,BRONZE,9/14/2027,ONLINE,07/05/2020,20:32:25,DEBIT,Ambohitrolomahitsy,162.90.28.160,SUCCESS
da2b3d04-d734-44ae-9bb6-8c676b82c549,ICICI,65-0644297,Ryon,Filgate,ICICI030052,88-9052638,Maris,ICICI071650,36995,3541104933091555,SILVER,8/28/2025,BANK,04/07/2019,20:56:03,CREDIT,Priyutovo,209.238.190.159,SUCCESS
91d207c3-577d-434a-b98c-ddecb9da2e19,SBI,60-4996866,Mathian,Wayon,SBI00024157,20-6063610,Olenka,SBI00059614,76560,3547701536779082,PLATINUM,4/17/2025,BANK,29/10/2019,15:01:36,CREDIT,Sapeken,60.254.84.87,SUCCESS
8c5b36f6-4f77-43b3-85d5-680c97843bd7,SBI,05-0895090,Cletus,Bolden,SBI00020057,27-8507239,Reinold,SBI00059656,89585,5100148252115196,PLATINUM,6/24/2026,ONLINE,08/11/2019,15:30:53,DEBIT,Calais,31.13.230.16,SUCCESS
5a3bd5a2-c390-4b48-a599-7b6a9dc04f13,HDFC,66-9987015,Tandy,Donaway,HDFC0021849,30-1451396,Austen,HDFC0094677,18879,56022159311667646,BRONZE,2/9/2026,ONLINE,10/05/2020,0:31:28,CREDIT,Öjebyn,122.153.229.53,SUCCESS
6c6b888a-6a70-455e-a0e1-00c0003e33cf,CITY,43-3619160,Ronnie,Lundon,CITY0042700,94-5578134,Den,CITY0098066,90664,5007665950799553,PLATINUM,11/12/2024,ONLINE,30/06/2019,6:27:20,CREDIT,Wuhu,58.191.21.106,SUCCESS
957f8d8f-1a5e-4516-a4a5-0546bec4f859,SBI,62-1053516,Tobias,Haydock,SBI00036659,12-5718771,Jarad,SBI00064735,98037,201969948093284,SILVER,9/4/2027,ONLINE,28/03/2020,2:00:08,CREDIT,Nong Hin,9.4.232.35,SUCCESS
079e4421-2dd0-4b92-ba6d-c5dc055fb4e0,ICICI,14-2863408,Blisse,Kunert,ICICI031474,00-6555589,Philly,ICICI073794,8000,5602252998629158054,SILVER,10/7/2025,BANK,22/09/2019,7:12:06,DEBIT,Prakhon Chai,54.219.48.169,SUCCESS
091f8881-0a7f-437e-89d2-964f2121c4f2,KOTAK,52-0858677,Christy,Shrive,KOTAK033294,91-8805736,Sigismund,KOTAK056272,51221,6771659729378100372,PLATINUM,3/2/2025,ONLINE,24/07/2020,21:00:51,CREDIT,Kang-neung,55.152.39.8,SUCCESS
f5dd7fa9-fdda-4c01-88d6-6a63381ae5eb,KOTAK,68-2836940,Micaela,Tax,KOTAK021316,33-2234391,Ingar,KOTAK084925,93511,30356334814738,SILVER,7/7/2025,ONLINE,17/08/2019,22:58:25,CREDIT,Karlskrona,47.59.216.107,FAILED
e527a2f7-717a-4641-a65a-bfc42088f2b3,ICICI,25-5654262,Alane,Tommis,ICICI013403,37-1641765,Ginnifer,ICICI065699,35057,3574819517345412,BRONZE,5/3/2022,BANK,11/12/2019,3:59:47,DEBIT,Budapest,85.247.236.132,SUCCESS
6000a33b-e763-4ef1-a99d-c8bdeb2eff59,SBI,95-7308498,Brina,Bernardon,SBI00013079,39-7943248,Corrie,SBI00063553,76307,3535370058425534,BRONZE,4/10/2027,POS,25/06/2019,9:49:03,CREDIT,Kawengan,231.252.35.100,SUCCESS
a50b3e19-90fb-4278-a821-aa9c63e2f513,HDFC,71-8411734,Allianora,Tremaine,HDFC0046788,10-6472159,Trace,HDFC0058894,48206,3562917966598640,SILVER,8/20/2022,BANK,27/07/2019,10:06:12,CREDIT,Klimovsk,102.0.164.74,FAILED
9685bca2-ecfd-469e-bb95-341c050999d2,KOTAK,04-0744977,Karissa,Standing,KOTAK020308,05-3474644,Lusa,KOTAK082967,78170,6334238573102746838,GOLD,2/13/2024,POS,06/08/2019,11:19:45,CREDIT,Jumpangdua,233.57.172.192,SUCCESS
94b934a4-b586-4f2d-9973-8d8a24052fdc,CITY,58-6562563,Hailee,Shillom,CITY0049751,95-1828792,Ray,CITY0056961,12005,676181014288001380,GOLD,2/26/2025,BANK,31/08/2020,19:10:30,DEBIT,Jinping,233.59.142.169,SUCCESS
41957ba1-fa6d-4c51-a15b-4d56c7e1cd7f,HDFC,16-2301357,Josefina,Wigfall,HDFC0039496,62-1527609,Cornie,HDFC0069936,95808,3560518672539787,SILVER,2/21/2026,ONLINE,01/08/2020,18:55:46,CREDIT,Lovisa,186.13.79.129,SUCCESS
b61677d6-7bef-44a3-aa12-91869babe593,SBI,69-6921767,Thaine,Rowbotham,SBI00050266,59-1535462,Issi,SBI00065507,29205,3533892126264803,SILVER,12/1/2022,POS,14/02/2020,19:43:47,CREDIT,Clorinda,189.89.85.176,FAILED
67e4d6a7-6a35-45db-91e3-a85d17ae95b9,KOTAK,43-4866221,Kelbee,Stuehmeier,KOTAK037465,40-0351398,Nappie,KOTAK087150,43683,50184183545032390,SILVER,1/6/2026,BANK,17/03/2020,15:04:18,DEBIT,Valenciennes,97.171.193.117,SUCCESS
792d945d-18f8-4e78-b7cf-f8ded622f44c,CITY,23-8639295,Nike,Graith,CITY0044509,02-1417374,Enrico,CITY0088388,19122,3579153869585291,GOLD,5/10/2023,BANK,12/12/2019,23:54:45,CREDIT,Bridgetown,204.179.20.5,SUCCESS
714dd9da-8d03-4a3e-97b3-2b25f101c564,HDFC,56-2009871,Judye,Billion,HDFC0030690,38-6208148,Shirlee,HDFC0078777,78342,56022310449069284,SILVER,12/13/2025,POS,26/10/2019,18:53:29,DEBIT,Limon,45.249.132.142,SUCCESS
fe114bb5-3016-4800-ad14-0a22f6a382cb,CITY,49-4044419,Ellynn,Kiddy,CITY0054250,26-9864848,Antonin,CITY0082564,49534,3538254266160504,SILVER,1/31/2026,ONLINE,09/02/2020,0:39:02,CREDIT,Karakul’,166.145.121.58,SUCCESS
8cd48669-ae4a-44fd-a9c8-0830b06ac3a2,SBI,21-4233484,Gabriele,Artz,SBI00035432,04-9126986,Veronike,SBI00087774,95996,346541364952461,SILVER,5/7/2025,BANK,27/06/2019,19:42:17,DEBIT,Fengshan,179.122.140.216,SUCCESS
e0e10fc5-cf0f-4765-b9ec-8d26fee0915c,KOTAK,29-6842802,Berti,Hawton,KOTAK014609,28-9168219,Maible,KOTAK055784,49037,6767132158344994517,GOLD,6/24/2023,ONLINE,27/02/2020,8:48:35,DEBIT,Paris 11,235.152.7.176,SUCCESS
dc5e9a68-d4be-4e54-b08e-115a3c07c489,KOTAK,19-0597800,Timi,Farnell,KOTAK029457,05-0561631,Nickola,KOTAK087242,82368,3575857099902662,SILVER,8/1/2022,POS,25/05/2020,12:15:59,CREDIT,Paitan Norte,212.11.234.73,SUCCESS
747453aa-1726-4309-8b1d-a92c0187b91a,KOTAK,18-5097974,Nollie,Finlan,KOTAK014390,41-7295566,Hagan,KOTAK082996,63329,5610065172049482,SILVER,7/16/2025,POS,21/12/2019,15:00:15,CREDIT,Mianduhe,145.238.162.3,SUCCESS
4ac203c6-91cf-47e2-ac73-428f73c51dcd,CITY,79-4362154,Sydney,Hawney,CITY0054282,97-0761419,Beatrice,CITY0073489,18269,3541423479282976,PLATINUM,9/20/2026,BANK,12/02/2020,21:54:20,DEBIT,Wenshao,149.133.39.4,SUCCESS
a44a13d7-6c40-4334-89a1-d2c2d96a24aa,SBI,29-8920692,Mayne,Bowlands,SBI00055349,61-5220547,Deerdre,SBI00092344,81524,3539873527609162,GOLD,10/26/2026,ONLINE,24/10/2019,23:21:23,DEBIT,Dolod,99.36.191.244,SUCCESS
ed3ed7b4-2ce4-4d4f-ae60-596b8e0759d2,HDFC,46-0247665,Stuart,Filde,HDFC0044065,71-1850454,Payton,HDFC0076267,77254,36743974442058,GOLD,3/22/2024,ONLINE,20/06/2020,20:15:02,CREDIT,Shaxi,79.153.9.83,SUCCESS
72d4d3c4-6519-478c-98da-dd5deca6f552,KOTAK,52-8276862,Rosabelle,Fynes,KOTAK037422,86-9838294,Dory,KOTAK085654,82357,30063128765320,GOLD,4/9/2024,POS,18/07/2019,9:23:36,DEBIT,Tashanta,41.216.197.29,SUCCESS
4b4d29e8-29e1-40e1-9d41-dda9549530ba,CITY,00-5884992,Emeline,Epperson,CITY0052876,96-0941446,Myrtice,CITY0060618,17429,3587007831144308,GOLD,7/11/2025,ONLINE,24/05/2020,1:35:21,DEBIT,Kasama,195.12.250.232,SUCCESS
6eee1777-0533-47d3-a700-e6313bb6cb24,SBI,59-9924579,Reeta,Alwell,SBI00023071,48-1045204,Sheelah,SBI00061187,99169,3582043975385113,PLATINUM,5/8/2026,ONLINE,15/04/2020,16:37:43,CREDIT,Weifen,213.159.3.251,SUCCESS
ea677f4d-e086-4910-937d-952712631c9c,HDFC,29-3372257,Kimmy,Scourfield,HDFC0028288,64-6406486,Kira,HDFC0093390,76425,3534548137263049,SILVER,12/23/2026,BANK,18/08/2019,23:11:55,CREDIT,Jiḩānah,182.166.228.232,SUCCESS
3c58a5eb-9b32-4b17-aca4-0f26f8ef69aa,CITY,42-6493420,Carlie,Credland,CITY0045886,98-4547443,Rawley,CITY0063716,99617,6771344077564058,BRONZE,4/29/2024,BANK,27/06/2019,10:31:46,DEBIT,Lebahseri,1.57.126.119,FAILED
6a47efbe-1975-4cc2-9ffa-8498b71fc395,KOTAK,88-4281064,Jenifer,Pizey,KOTAK045812,11-8057975,Boris,KOTAK078157,94927,3584896597593911,SILVER,9/25/2024,POS,02/03/2020,11:54:29,DEBIT,Bambari,45.244.0.156,SUCCESS
838f1525-b4fb-42e8-92a2-55f410bb1392,ICICI,51-8580309,Laird,McCaughren,ICICI010430,30-2907127,Tate,ICICI083156,64033,560224148187672928,BRONZE,8/27/2026,POS,08/02/2020,17:19:17,CREDIT,Ålesund,95.226.62.194,SUCCESS
1fa6690d-a103-4fd7-99d8-4dcb831b8b2f,KOTAK,79-8834927,Richart,Symones,KOTAK020829,89-7373791,Elsy,KOTAK085652,56997,4844245709731353,BRONZE,7/23/2023,BANK,11/05/2020,9:54:21,CREDIT,Negara,14.104.74.215,SUCCESS
66eb9edf-4108-4ebf-b248-18ab24e86d1a,KOTAK,68-6998905,Issiah,Bromilow,KOTAK036769,17-9375486,Kaylil,KOTAK082274,67113,5602248441875222,PLATINUM,3/16/2024,BANK,02/05/2020,17:27:18,CREDIT,Ondoy,117.118.91.18,SUCCESS
200871ac-6712-4514-9685-affda443d579,HDFC,09-5220210,Pearce,Dolligon,HDFC0052115,65-4200465,Byrom,HDFC0079248,50775,5602238812988506,BRONZE,12/28/2025,ONLINE,13/09/2019,19:15:18,CREDIT,Alimono,193.116.45.199,SUCCESS
cacbb075-ae3c-4fe6-8d3e-3547185ba75a,CITY,17-6364645,Lindi,Berg,CITY0046001,90-7477906,Nelli,CITY0087906,42883,3569585327277528,GOLD,6/11/2024,POS,02/10/2019,0:28:04,CREDIT,Carazinho,99.7.109.44,SUCCESS
3cda56fd-2a4e-413f-8964-75efe284d973,KOTAK,25-2605018,Tudor,Daice,KOTAK017360,13-5095710,Jodie,KOTAK080139,64880,3539638825060412,GOLD,2/11/2024,ONLINE,28/10/2019,12:59:27,CREDIT,Konakridee,126.81.30.181,SUCCESS
ce2fdd34-9d11-4baf-ac66-7eb676f62539,KOTAK,98-0855030,Odelinda,Styant,KOTAK036192,87-3306298,Doroteya,KOTAK080213,76081,5610458645242505,PLATINUM,2/23/2025,ONLINE,31/07/2020,13:53:14,CREDIT,Phanom Sarakham,161.38.35.177,SUCCESS
d9ea1a09-33fd-4cac-91c9-7c8173d0eea0,ICICI,89-4509335,Dorothee,Evesque,ICICI021592,95-0111712,Idalia,ICICI060926,89691,5118559838952086,BRONZE,4/22/2025,ONLINE,24/12/2019,17:25:50,DEBIT,Myingyan,37.22.42.93,SUCCESS
079b7307-1d43-48a9-8126-5007573bde02,HDFC,31-9158115,Grier,Brack,HDFC0039331,62-9571157,Benito,HDFC0060750,6398,490368439642715808,GOLD,1/26/2023,POS,01/12/2019,21:55:02,DEBIT,Miao’ertan,83.177.99.248,SUCCESS
560fb3f5-a8fc-43d0-8683-b1eab677cd40,HDFC,19-0353434,Haroun,Pankettman,HDFC0021565,78-0980113,Pandora,HDFC0078037,72593,3528154782052700,GOLD,9/18/2023,BANK,26/10/2019,7:58:09,DEBIT,Beausejour,212.247.30.81,SUCCESS
43d21adf-6a89-4a44-9079-36b0afe7874d,CITY,46-5141492,Budd,Domotor,CITY0019891,72-9150847,Cris,CITY0060544,19489,3551959699103770,BRONZE,6/25/2026,POS,27/07/2019,22:40:46,DEBIT,Gununganyar,36.10.170.83,SUCCESS
f232e2e3-7fc0-48fe-83c3-c254e86504e4,KOTAK,80-9877514,Gerri,Jakeway,KOTAK016160,95-8553984,Amandie,KOTAK071478,9371,3579102557860516,PLATINUM,4/19/2025,ONLINE,05/01/2020,17:48:03,CREDIT,Klimovsk,174.50.196.38,SUCCESS
fb4b212e-ade8-4b1f-a5b8-23d738b3827a,CITY,28-8984058,Cliff,Hoodlass,CITY0035420,32-9638009,Binni,CITY0058696,45534,3569678019144393,BRONZE,10/14/2022,POS,08/12/2019,15:57:55,DEBIT,Zlaté Hory,49.211.9.84,SUCCESS
b9c35c79-b9fd-49e5-983b-69a5b8c5f6c3,HDFC,85-3635591,Sheffy,Benz,HDFC0010212,70-2719655,Belita,HDFC0079215,685,4913945686125224,GOLD,5/19/2022,BANK,13/02/2020,12:35:46,CREDIT,Al Mijlad,124.15.62.170,SUCCESS
6ecb9672-7e52-4137-8e28-d3ac34ec8fe8,KOTAK,05-6103792,Winnie,Blackburne,KOTAK011571,01-6223535,Allie,KOTAK070896,5320,3531836497213776,GOLD,11/2/2021,POS,15/03/2020,11:58:28,CREDIT,San Bernardo,210.143.19.142,SUCCESS
d3339530-115f-42cc-9c77-b3814284d338,CITY,30-6286182,Jacquelyn,Bradlaugh,CITY0055180,64-3748557,Florie,CITY0066404,94517,3563098423573267,PLATINUM,3/18/2022,ONLINE,11/06/2020,13:52:24,DEBIT,Cosne-Cours-sur-Loire,61.83.129.44,SUCCESS
4a8db0e9-393d-41d8-b067-b9931ded962d,ICICI,72-5630094,Paton,Service,ICICI021826,19-8844638,Eleonora,ICICI063019,74967,6304846542270967754,SILVER,10/15/2026,POS,18/05/2020,17:49:20,DEBIT,Barra Bonita,220.164.48.172,SUCCESS
5aac51a6-9b91-4ac8-b742-37798dabfe40,CITY,32-7084260,Russ,Huntingdon,CITY0011907,07-6090746,Carolee,CITY0081746,67081,6381866343847620,SILVER,12/18/2022,BANK,17/03/2020,10:55:55,DEBIT,Preserje pri Radomljah,124.208.242.74,FAILED
5c08e9f7-07c9-4942-8541-eb86a8ef5ec4,SBI,93-6660230,Brand,MacParland,SBI00028679,07-9867126,Leoine,SBI00072223,27548,30388791012092,PLATINUM,12/5/2023,POS,20/02/2020,1:59:48,DEBIT,Karangasem Laok,121.13.122.131,SUCCESS
c262893d-2757-4e99-8480-0690c496cd7c,KOTAK,69-5201178,Marsiella,Barthorpe,KOTAK026116,88-7133566,Yvonne,KOTAK073947,18424,6331104341959192,PLATINUM,10/22/2022,ONLINE,19/06/2019,16:10:56,DEBIT,Ratilangi,52.242.2.160,SUCCESS
17fdf200-af90-4d5b-aa85-af6427a31f91,SBI,96-7472397,Nial,Bagnell,SBI00035003,07-8722531,Nicolle,SBI00086994,54037,6382726546466504,GOLD,7/31/2026,BANK,09/08/2019,14:30:10,CREDIT,Marne-la-Vallée,73.204.14.192,SUCCESS
06a05200-a130-4fdb-a538-7566a307dcfa,SBI,18-3552339,Natal,Stappard,SBI00022143,20-5307660,Bill,SBI00079978,15772,3538554712299636,SILVER,11/29/2024,BANK,18/05/2020,0:06:54,CREDIT,Gardēz,122.190.30.140,SUCCESS
781ce557-4b80-4a2c-8c9c-3b3747f221d7,SBI,67-6548340,Irwinn,Clears,SBI00033117,79-3017556,Tori,SBI00060927,1960,4917445686601494,GOLD,12/17/2021,POS,29/07/2020,9:03:54,CREDIT,Cao Thượng,151.11.131.128,SUCCESS
5d12154d-c2c6-4fc4-bedb-e0f6bfe2adac,HDFC,11-3938260,Rowan,Mouat,HDFC0012977,74-4833744,Leeann,HDFC0062826,79051,3528478536765337,BRONZE,4/29/2025,ONLINE,07/12/2019,21:53:25,DEBIT,Beolgyo,74.53.142.82,FAILED
89cad397-6594-4f9d-9d74-174b4b068a5b,SBI,89-3050013,Fidole,Lacrouts,SBI00049730,26-9154352,Sibyl,SBI00089775,1748,6376475701801430,SILVER,1/13/2022,BANK,29/02/2020,16:11:24,DEBIT,Olyshivka,246.63.210.149,SUCCESS
98d75bf0-ae3f-45eb-8f95-c79a441e51fe,SBI,50-2837492,Dav,Molyneaux,SBI00033823,28-3748130,Willamina,SBI00085936,31846,3534211422809451,SILVER,3/13/2024,ONLINE,17/04/2020,5:42:57,CREDIT,Bergen,101.18.244.208,SUCCESS
ffece097-3233-4327-aeeb-50ba310b878f,CITY,57-7074165,Rheba,Lamp,CITY0019183,07-5961377,Adelina,CITY0095543,41032,3539723974152960,PLATINUM,7/28/2024,POS,25/05/2020,20:12:10,DEBIT,Milltown,15.72.71.109,SUCCESS
d3fcb024-aed7-4cf3-ad17-8b24d9b8dfe4,HDFC,01-1386600,Prisca,Jeannot,HDFC0024940,73-1611654,Ardath,HDFC0095056,27989,501848624385734223,GOLD,3/9/2026,BANK,18/08/2019,6:09:57,CREDIT,Hankha,121.2.0.15,FAILED
5f72b63a-47b7-4edb-834c-c03086bc11ab,SBI,44-2906819,Mei,Arnout,SBI00032567,27-9460381,Charity,SBI00097429,36251,30133395586228,BRONZE,1/8/2024,ONLINE,08/03/2020,16:47:20,CREDIT,Conception Bay South,159.159.213.169,SUCCESS
035afa73-8c8b-4fbd-ba24-4e0ba9771dc9,HDFC,98-9260689,Jaclyn,Matiewe,HDFC0018108,10-8146010,Jorie,HDFC0089973,85346,3572377695572655,PLATINUM,8/18/2024,BANK,18/11/2019,12:15:53,CREDIT,Nanniu,229.114.6.20,SUCCESS
3f752f4f-e53a-4d49-8434-ea2f30be0212,KOTAK,24-9940869,Bill,Eveling,KOTAK020890,64-6429134,Hanson,KOTAK070054,92981,4033849695694,BRONZE,7/28/2025,POS,13/08/2019,6:07:25,CREDIT,Utsjoki,153.23.11.83,SUCCESS
5a0a7720-182c-4266-8d94-b6b4eaec0311,HDFC,28-2340674,Emery,Waterfall,HDFC0012643,80-4223403,Ruthe,HDFC0079384,26951,201579674382304,SILVER,5/10/2024,BANK,19/06/2020,13:05:27,DEBIT,Pantaihambawang,41.65.138.186,SUCCESS
51f8a405-90a4-4895-9d37-7035446e601a,KOTAK,24-1461003,Lonnie,Bletsoe,KOTAK013827,79-5250727,Zachariah,KOTAK068522,16721,5562276157211009,BRONZE,8/27/2025,ONLINE,14/07/2019,10:17:43,CREDIT,Molodohvardiys’k,255.200.126.100,SUCCESS
